Row	Choice1	Choice2	ColumnPick	Max
1	9235	0	1	9235
2	9096	637	1	9096
3	973	3269	2	3269
4	3350	4788	3	4788
5	9427	976	3	9427
6	4232	1890	3	4232
7	5655	1119	3	5655
8	246	2023	4	2023
9	1664	2331	5	2331
10	8032	2408	5	8032
11	4014	6970	6	6970
12	9443	4900	6	9443
13	1848	2524	7	2524
14	5992	2092	7	5992
15	7319	9245	8	9245
16	4301	1899	8	4301
17	7932	1909	8	7932
18	8838	944	8	8838
19	2502	5346	9	5346
20	4079	1631	9	4079
21	8156	3187	9	8156
22	324	6551	10	6551
23	6956	6341	10	6956
24	8540	1762	10	8540
25	5001	6357	11	6357
26	5841	4504	11	5841
27	7531	7443	11	7531
28	2787	823	11	2787
29	5636	1268	11	5636
30	9161	5544	11	9161
31	9644	5190	11	9644
32	9081	991	11	9081
33	8047	476	11	8047
34	8905	9729	12	9729
35	2925	5151	13	5151
36	22	7337	14	7337
37	5596	70	14	5596
38	4607	5963	15	5963
39	1211	7901	16	7901
40	3325	4237	17	4237
41	7944	8826	18	8826
42	4980	1610	18	4980
43	2877	8567	19	8567
44	7284	2035	19	7284
45	3969	6132	20	6132
46	7501	9347	21	9347
47	8370	5459	21	8370
48	4346	5975	22	5975
49	4963	5590	23	5590
50	8111	3471	23	8111
51	6631	5056	23	6631
52	3253	4600	24	4600
53	4377	6768	25	6768
54	750	8804	26	8804
55	439	1841	27	1841
56	507	6642	28	6642
57	8862	5092	28	8862
58	7095	7866	29	7866
59	4395	2728	29	4395
60	8158	642	29	8158
61	2356	5824	30	5824
62	2451	2295	30	2451
63	4432	9512	31	9512
64	9481	3425	31	9481
65	6628	8810	32	8810
66	2745	1652	32	2745
67	4114	6928	33	6928
68	3782	4636	34	4636
69	806	4955	35	4955
70	7424	6741	35	7424
71	536	1948	36	1948
72	7099	605	36	7099
73	6950	7195	37	7195
74	2166	250	37	2166
75	9197	7777	37	9197
76	7191	2557	37	7191
77	5673	7310	38	7310
78	4908	2661	38	4908
79	6709	999	38	6709
80	8367	9022	39	9022
81	7110	278	39	7110
82	358	2662	40	2662
83	6079	9921	41	9921
84	6934	6938	42	6938
85	6370	7279	43	7279
86	9173	5275	43	9173
87	6050	8897	44	8897
88	3886	4514	45	4514
89	4596	8114	46	8114
90	1815	4552	47	4552
91	2535	6354	48	6354
92	4055	5478	49	5478
93	1260	3652	50	3652
94	9163	5858	50	9163
95	5282	3714	50	5282
96	1020	8841	51	8841
97	3844	9430	52	9430
98	756	5764	53	5764
99	650	7428	54	7428
100	4222	8549	NA	8549
